Grid Size,30
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,6,0,4.6667,4.6667,0,-39.6666,-67.6666,0
0,1,6,1,4.6666,4.6667,0,-39.6666,-63,0
0,1,5,1,4.6666,4.6667,0,-44.3334,-63,0
0,0,6,0,4.6667,4.6667,0,-39.6666,-67.6666,0
0,1,5,1,4.6666,4.6667,0,-44.3334,-63,0
0,1,5,0,4.6667,4.6667,0,-44.3334,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,7,0,4.6667,4.6666,0,-35,-67.6666,0
0,1,7,1,4.6666,4.6666,0,-35,-63,0
0,1,6,1,4.6666,4.6667,0,-39.6666,-63,0
0,0,7,0,4.6667,4.6666,0,-35,-67.6666,0
0,1,6,1,4.6666,4.6667,0,-39.6666,-63,0
0,1,6,0,4.6667,4.6667,0,-39.6666,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,8,0,4.6667,4.6667,0,-30.3333,-67.6666,0
0,1,8,1,4.6666,4.6667,0,-30.3333,-63,0
0,1,7,1,4.6666,4.6666,0,-35,-63,0
0,0,8,0,4.6667,4.6667,0,-30.3333,-67.6666,0
0,1,7,1,4.6666,4.6666,0,-35,-63,0
0,1,7,0,4.6667,4.6666,0,-35,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,9,0,4.6667,4.6667,0,-25.6666,-67.6666,0
0,1,9,1,4.6666,4.6667,0,-25.6666,-63,0
0,1,8,1,4.6666,4.6667,0,-30.3333,-63,0
0,0,9,0,4.6667,4.6667,0,-25.6666,-67.6666,0
0,1,8,1,4.6666,4.6667,0,-30.3333,-63,0
0,1,8,0,4.6667,4.6667,0,-30.3333,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,10,0,4.6667,4.6666,0,-21,-67.6666,0
0,1,10,1,4.6666,4.6666,0,-21,-63,0
0,1,9,1,4.6666,4.6667,0,-25.6666,-63,0
0,0,10,0,4.6667,4.6666,0,-21,-67.6666,0
0,1,9,1,4.6666,4.6667,0,-25.6666,-63,0
0,1,9,0,4.6667,4.6667,0,-25.6666,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,11,0,4.6667,4.6667,0,-16.3334,-67.6666,0
0,1,11,1,4.6666,4.6667,0,-16.3334,-63,0
0,1,10,1,4.6666,4.6666,0,-21,-63,0
0,0,11,0,4.6667,4.6667,0,-16.3334,-67.6666,0
0,1,10,1,4.6666,4.6666,0,-21,-63,0
0,1,10,0,4.6667,4.6666,0,-21,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,12,0,4.6667,4.66667,0,-11.6667,-67.6666,0
0,1,12,1,4.6666,4.66667,0,-11.6667,-63,0
0,1,11,1,4.6666,4.6667,0,-16.3334,-63,0
0,0,12,0,4.6667,4.66667,0,-11.6667,-67.6666,0
0,1,11,1,4.6666,4.6667,0,-16.3334,-63,0
0,1,11,0,4.6667,4.6667,0,-16.3334,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,13,0,4.6667,4.66667,0,-7,-67.6666,0
0,1,13,1,4.6666,4.66667,0,-7,-63,0
0,1,12,1,4.6666,4.66667,0,-11.6667,-63,0
0,0,13,0,4.6667,4.66667,0,-7,-67.6666,0
0,1,12,1,4.6666,4.66667,0,-11.6667,-63,0
0,1,12,0,4.6667,4.66667,0,-11.6667,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,14,0,4.6667,4.66666,0,-2.33333,-67.6666,0
0,1,14,1,4.6666,4.66666,0,-2.33333,-63,0
0,1,13,1,4.6666,4.66667,0,-7,-63,0
0,0,14,0,4.6667,4.66666,0,-2.33333,-67.6666,0
0,1,13,1,4.6666,4.66667,0,-7,-63,0
0,1,13,0,4.6667,4.66667,0,-7,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,15,0,4.6667,4.66667,0,2.33334,-67.6666,0
0,1,15,1,4.6666,4.66667,0,2.33334,-63,0
0,1,14,1,4.6666,4.66666,0,-2.33333,-63,0
0,0,15,0,4.6667,4.66667,0,2.33334,-67.6666,0
0,1,14,1,4.6666,4.66666,0,-2.33333,-63,0
0,1,14,0,4.6667,4.66666,0,-2.33333,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,16,0,4.6667,4.66667,0,7,-67.6666,0
0,1,16,1,4.6666,4.66667,0,7,-63,0
0,1,15,1,4.6666,4.66667,0,2.33334,-63,0
0,0,16,0,4.6667,4.66667,0,7,-67.6666,0
0,1,15,1,4.6666,4.66667,0,2.33334,-63,0
0,1,15,0,4.6667,4.66667,0,2.33334,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,17,0,4.6667,4.66666,0,11.6667,-67.6666,0
0,1,17,1,4.6666,4.66666,0,11.6667,-63,0
0,1,16,1,4.6666,4.66667,0,7,-63,0
0,0,17,0,4.6667,4.66666,0,11.6667,-67.6666,0
0,1,16,1,4.6666,4.66667,0,7,-63,0
0,1,16,0,4.6667,4.66667,0,7,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,18,0,4.6667,4.6667,0,16.3334,-67.6666,0
0,1,18,1,4.6666,4.6667,0,16.3334,-63,0
0,1,17,1,4.6666,4.66666,0,11.6667,-63,0
0,0,18,0,4.6667,4.6667,0,16.3334,-67.6666,0
0,1,17,1,4.6666,4.66666,0,11.6667,-63,0
0,1,17,0,4.6667,4.66666,0,11.6667,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,19,0,4.6667,4.6666,0,21,-67.6666,0
0,1,19,1,4.6666,4.6666,0,21,-63,0
0,1,18,1,4.6666,4.6667,0,16.3334,-63,0
0,0,19,0,4.6667,4.6666,0,21,-67.6666,0
0,1,18,1,4.6666,4.6667,0,16.3334,-63,0
0,1,18,0,4.6667,4.6667,0,16.3334,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,20,0,4.6667,4.6667,0,25.6666,-67.6666,0
0,1,20,1,4.6666,4.6667,0,25.6666,-63,0
0,1,19,1,4.6666,4.6666,0,21,-63,0
0,0,20,0,4.6667,4.6667,0,25.6666,-67.6666,0
0,1,19,1,4.6666,4.6666,0,21,-63,0
0,1,19,0,4.6667,4.6666,0,21,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,21,0,4.6667,4.6667,0,30.3333,-67.6666,0
0,1,21,1,4.6666,4.6667,0,30.3333,-63,0
0,1,20,1,4.6666,4.6667,0,25.6666,-63,0
0,0,21,0,4.6667,4.6667,0,30.3333,-67.6666,0
0,1,20,1,4.6666,4.6667,0,25.6666,-63,0
0,1,20,0,4.6667,4.6667,0,25.6666,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,22,0,4.6667,4.6666,0,35,-67.6666,0
0,1,22,1,4.6666,4.6666,0,35,-63,0
0,1,21,1,4.6666,4.6667,0,30.3333,-63,0
0,0,22,0,4.6667,4.6666,0,35,-67.6666,0
0,1,21,1,4.6666,4.6667,0,30.3333,-63,0
0,1,21,0,4.6667,4.6667,0,30.3333,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,23,0,4.6667,4.6667,0,39.6666,-67.6666,0
0,1,23,1,4.6666,4.6667,0,39.6666,-63,0
0,1,22,1,4.6666,4.6666,0,35,-63,0
0,0,23,0,4.6667,4.6667,0,39.6666,-67.6666,0
0,1,22,1,4.6666,4.6666,0,35,-63,0
0,1,22,0,4.6667,4.6666,0,35,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,24,0,4.6667,4.6667,0,44.3334,-67.6666,0
0,1,24,1,4.6666,4.6667,0,44.3334,-63,0
0,1,23,1,4.6666,4.6667,0,39.6666,-63,0
0,0,24,0,4.6667,4.6667,0,44.3334,-67.6666,0
0,1,23,1,4.6666,4.6667,0,39.6666,-63,0
0,1,23,0,4.6667,4.6667,0,39.6666,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,25,0,4.6667,4.6666,0,49,-67.6666,0
0,1,25,1,4.6666,4.6666,0,49,-63,0
0,1,24,1,4.6666,4.6667,0,44.3334,-63,0
0,0,25,0,4.6667,4.6666,0,49,-67.6666,0
0,1,24,1,4.6666,4.6667,0,44.3334,-63,0
0,1,24,0,4.6667,4.6667,0,44.3334,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,26,0,4.6667,4.6667,0,53.6666,-67.6666,0
0,1,26,1,4.6666,4.6667,0,53.6666,-63,0
0,1,25,1,4.6666,4.6666,0,49,-63,0
0,0,26,0,4.6667,4.6667,0,53.6666,-67.6666,0
0,1,25,1,4.6666,4.6666,0,49,-63,0
0,1,25,0,4.6667,4.6666,0,49,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,27,0,4.6667,4.6667,0,58.3334,-67.6666,0
0,1,27,1,4.6666,4.6667,0,58.3334,-63,0
0,1,26,1,4.6666,4.6667,0,53.6666,-63,0
0,0,27,0,4.6667,4.6667,0,58.3334,-67.6666,0
0,1,26,1,4.6666,4.6667,0,53.6666,-63,0
0,1,26,0,4.6667,4.6667,0,53.6666,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,28,0,4.6667,4.6666,0,63,-67.6666,0
0,1,28,1,4.6666,4.6666,0,63,-63,0
0,1,27,1,4.6666,4.6667,0,58.3334,-63,0
0,0,28,0,4.6667,4.6666,0,63,-67.6666,0
0,1,27,1,4.6666,4.6667,0,58.3334,-63,0
0,1,27,0,4.6667,4.6667,0,58.3334,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,29,0,4.6667,4.6667,0,67.6666,-67.6666,0
0,1,29,1,4.6666,4.6667,0,67.6666,-63,0
0,1,28,1,4.6666,4.6666,0,63,-63,0
0,0,29,0,4.6667,4.6667,0,67.6666,-67.6666,0
0,1,28,1,4.6666,4.6666,0,63,-63,0
0,1,28,0,4.6667,4.6666,0,63,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,29,1,4.6666,4.6667,0,67.6666,-63,0
0,0,0,1,4.6666,4.6667,0,-67.6666,-63,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,0,4.6667,4.6667,0,-67.6666,-67.6666,0
0,1,1,0,4.6667,4.6666,0,-63,-67.6666,0
0,1,1,1,4.6666,4.6666,0,-63,-63,0
0,1,1,2,4.6667,4.6666,0,-63,-58.3334,0
0,1,0,2,4.6667,4.6667,0,-67.6666,-58.3334,0
0,0,1,1,4.6666,4.6666,0,-63,-63,0
0,1,0,2,4.6667,4.6667,0,-67.6666,-58.3334,0
0,1,0,1,4.6666,4.6667,0,-67.6666,-63,0
0,1,0,0,4.6667,4.6667,0,-67.6666,-67.6666,0
0,1,1,0,4.6667,4.6666,0,-63,-67.6666,0
0,1,2,0,4.6667,4.6667,0,-58.3334,-67.6666,0
0,1,2,1,4.6666,4.6667,0,-58.3334,-63,0
0,1,2,2,4.6667,4.6667,0,-58.3334,-58.3334,0
0,1,1,2,4.6667,4.6666,0,-63,-58.3334,0
0,0,2,1,4.6666,4.6667,0,-58.3334,-63,0
0,1,1,2,4.6667,4.6666,0,-63,-58.3334,0
0,1,1,1,4.6666,4.6666,0,-63,-63,0
0,1,1,0,4.6667,4.6666,0,-63,-67.6666,0
0,1,2,0,4.6667,4.6667,0,-58.3334,-67.6666,0
0,1,3,0,4.6667,4.6667,0,-53.6666,-67.6666,0
0,1,3,1,4.6666,4.6667,0,-53.6666,-63,0
0,1,3,2,4.6667,4.6667,0,-53.6666,-58.3334,0
0,1,2,2,4.6667,4.6667,0,-58.3334,-58.3334,0
0,0,3,1,4.6666,4.6667,0,-53.6666,-63,0
0,1,2,2,4.6667,4.6667,0,-58.3334,-58.3334,0
0,1,2,1,4.6666,4.6667,0,-58.3334,-63,0
0,1,2,0,4.6667,4.6667,0,-58.3334,-67.6666,0
0,1,3,0,4.6667,4.6667,0,-53.6666,-67.6666,0
0,1,4,0,4.6667,4.6666,0,-49,-67.6666,0
0,1,4,1,4.6666,4.6666,0,-49,-63,0
0,1,4,2,4.6667,4.6666,0,-49,-58.3334,0
0,1,3,2,4.6667,4.6667,0,-53.6666,-58.3334,0
0,0,4,1,4.6666,4.6666,0,-49,-63,0
0,1,3,2,4.6667,4.6667,0,-53.6666,-58.3334,0
0,1,3,1,4.6666,4.6667,0,-53.6666,-63,0
0,1,3,0,4.6667,4.6667,0,-53.6666,-67.6666,0
0,1,4,0,4.6667,4.6666,0,-49,-67.6666,0
0,1,5,0,4.6667,4.6667,0,-44.3334,-67.6666,0
0,1,5,1,4.6666,4.6667,0,-44.3334,-63,0
0,1,5,2,4.6667,4.6667,0,-44.3334,-58.3334,0
0,1,4,2,4.6667,4.6666,0,-49,-58.3334,0
0,0,5,1,4.6666,4.6667,0,-44.3334,-63,0
0,1,4,2,4.6667,4.6666,0,-49,-58.3334,0
0,1,4,1,4.6666,4.6666,0,-49,-63,0
0,1,4,0,4.6667,4.6666,0,-49,-67.6666,0
0,1,5,0,4.6667,4.6667,0,-44.3334,-67.6666,0
0,1,6,0,4.6667,4.6667,0,-39.6666,-67.6666,0
0,1,6,1,4.6666,4.6667,0,-39.6666,-63,0
0,1,6,2,4.6667,4.6667,0,-39.6666,-58.3334,0
0,1,5,2,4.6667,4.6667,0,-44.3334,-58.3334,0
0,0,6,1,4.6666,4.6667,0,-39.6666,-63,0
0,1,5,2,4.6667,4.6667,0,-44.3334,-58.3334,0
0,1,5,1,4.6666,4.6667,0,-44.3334,-63,0
0,1,5,0,4.6667,4.6667,0,-44.3334,-67.6666,0
0,1,6,0,4.6667,4.6667,0,-39.6666,-67.6666,0
0,1,7,0,4.6667,4.6666,0,-35,-67.6666,0
0,1,7,1,4.6666,4.6666,0,-35,-63,0
0,1,7,2,4.6667,4.6666,0,-35,-58.3334,0
0,1,6,2,4.6667,4.6667,0,-39.6666,-58.3334,0
0,0,7,1,4.6666,4.6666,0,-35,-63,0
0,1,6,2,4.6667,4.6667,0,-39.6666,-58.3334,0
0,1,6,1,4.6666,4.6667,0,-39.6666,-63,0
0,1,6,0,4.6667,4.6667,0,-39.6666,-67.6666,0
0,1,7,0,4.6667,4.6666,0,-35,-67.6666,0
0,1,8,0,4.6667,4.6667,0,-30.3333,-67.6666,0
0,1,8,1,4.6666,4.6667,0,-30.3333,-63,0
0,1,8,2,4.6667,4.6667,0,-30.3333,-58.3334,0
0,1,7,2,4.6667,4.6666,0,-35,-58.3334,0
0,0,8,1,4.6666,4.6667,0,-30.3333,-63,0
0,1,7,2,4.6667,4.6666,0,-35,-58.3334,0
0,1,7,1,4.6666,4.6666,0,-35,-63,0
0,1,7,0,4.6667,4.6666,0,-35,-67.6666,0
0,1,8,0,4.6667,4.6667,0,-30.3333,-67.6666,0
0,1,9,0,4.6667,4.6667,0,-25.6666,-67.6666,0
0,1,9,1,4.6666,4.6667,0,-25.6666,-63,0
0,1,9,2,4.6667,4.6667,0,-25.6666,-58.3334,0
0,1,8,2,4.6667,4.6667,0,-30.3333,-58.3334,0
0,0,9,1,4.6666,4.6667,0,-25.6666,-63,0
0,1,8,2,4.6667,4.6667,0,-30.3333,-58.3334,0
0,1,8,1,4.6666,4.6667,0,-30.3333,-63,0
0,1,8,0,4.6667,4.6667,0,-30.3333,-67.6666,0
0,1,9,0,4.6667,4.6667,0,-25.6666,-67.6666,0
0,1,10,0,4.6667,4.6666,0,-21,-67.6666,0
0,1,10,1,4.6666,4.6666,0,-21,-63,0
0,1,10,2,4.6667,4.6666,0,-21,-58.3334,0
0,1,9,2,4.6667,4.6667,0,-25.6666,-58.3334,0
0,0,10,1,4.6666,4.6666,0,-21,-63,0
0,1,9,2,4.6667,4.6667,0,-25.6666,-58.3334,0
0,1,9,1,4.6666,4.6667,0,-25.6666,-63,0
0,1,9,0,4.6667,4.6667,0,-25.6666,-67.6666,0
0,1,10,0,4.6667,4.6666,0,-21,-67.6666,0
0,1,11,0,4.6667,4.6667,0,-16.3334,-67.6666,0
0,1,11,1,4.6666,4.6667,0,-16.3334,-63,0
0,1,11,2,4.6667,4.6667,0,-16.3334,-58.3334,0
0,1,10,2,4.6667,4.6666,0,-21,-58.3334,0
0,0,11,1,4.6666,4.6667,0,-16.3334,-63,0
0,1,10,2,4.6667,4.6666,0,-21,-58.3334,0
0,1,10,1,4.6666,4.6666,0,-21,-63,0
0,1,10,0,4.6667,4.6666,0,-21,-67.6666,0
0,1,11,0,4.6667,4.6667,0,-16.3334,-67.6666,0
0,1,12,0,4.6667,4.66667,0,-11.6667,-67.6666,0
0,1,12,1,4.6666,4.66667,0,-11.6667,-63,0
0,1,12,2,4.6667,4.66667,0,-11.6667,-58.3334,0
0,1,11,2,4.6667,4.6667,0,-16.3334,-58.3334,0
0,0,12,1,4.6666,4.66667,0,-11.6667,-63,0
0,1,11,2,4.6667,4.6667,0,-16.3334,-58.3334,0
0,1,11,1,4.6666,4.6667,0,-16.3334,-63,0
0,1,11,0,4.6667,4.6667,0,-16.3334,-67.6666,0
0,1,12,0,4.6667,4.66667,0,-11.6667,-67.6666,0
0,1,13,0,4.6667,4.66667,0,-7,-67.6666,0
0,1,13,1,4.6666,4.66667,0,-7,-63,0
0,1,13,2,4.6667,4.66667,0,-7,-58.3334,0
0,1,12,2,4.6667,4.66667,0,-11.6667,-58.3334,0
0,0,13,1,4.6666,4.66667,0,-7,-63,0
0,1,12,2,4.6667,4.66667,0,-11.6667,-58.3334,0
0,1,12,1,4.6666,4.66667,0,-11.6667,-63,0
0,1,12,0,4.6667,4.66667,0,-11.6667,-67.6666,0
0,1,13,0,4.6667,4.66667,0,-7,-67.6666,0
0,1,14,0,4.6667,4.66666,0,-2.33333,-67.6666,0
0,1,14,1,4.6666,4.66666,0,-2.33333,-63,0
0,1,14,2,4.6667,4.66666,0,-2.33333,-58.3334,0
0,1,13,2,4.6667,4.66667,0,-7,-58.3334,0
0,0,14,1,4.6666,4.66666,0,-2.33333,-63,0
0,1,13,2,4.6667,4.66667,0,-7,-58.3334,0
0,1,13,1,4.6666,4.66667,0,-7,-63,0
0,1,13,0,4.6667,4.66667,0,-7,-67.6666,0
0,1,14,0,4.6667,4.66666,0,-2.33333,-67.6666,0
0,1,15,0,4.6667,4.66667,0,2.33334,-67.6666,0
0,1,15,1,4.6666,4.66667,0,2.33334,-63,0
0,1,15,2,4.6667,4.66667,0,2.33334,-58.3334,0
0,1,14,2,4.6667,4.66666,0,-2.33333,-58.3334,0
0,0,15,1,4.6666,4.66667,0,2.33334,-63,0
0,1,14,2,4.6667,4.66666,0,-2.33333,-58.3334,0
0,1,14,1,4.6666,4.66666,0,-2.33333,-63,0
0,1,14,0,4.6667,4.66666,0,-2.33333,-67.6666,0
0,1,15,0,4.6667,4.66667,0,2.33334,-67.6666,0
0,1,16,0,4.6667,4.66667,0,7,-67.6666,0
0,1,16,1,4.6666,4.66667,0,7,-63,0
0,1,16,2,4.6667,4.66667,0,7,-58.3334,0
0,1,15,2,4.6667,4.66667,0,2.33334,-58.3334,0
0,0,16,1,4.6666,4.66667,0,7,-63,0
0,1,15,2,4.6667,4.66667,0,2.33334,-58.3334,0
0,1,15,1,4.6666,4.66667,0,2.33334,-63,0
0,1,15,0,4.6667,4.66667,0,2.33334,-67.6666,0
0,1,16,0,4.6667,4.66667,0,7,-67.6666,0
0,1,17,0,4.6667,4.66666,0,11.6667,-67.6666,0
0,1,17,1,4.6666,4.66666,0,11.6667,-63,0
0,1,17,2,4.6667,4.66666,0,11.6667,-58.3334,0
0,1,16,2,4.6667,4.66667,0,7,-58.3334,0
0,0,17,1,4.6666,4.66666,0,11.6667,-63,0
0,1,16,2,4.6667,4.66667,0,7,-58.3334,0
0,1,16,1,4.6666,4.66667,0,7,-63,0
0,1,16,0,4.6667,4.66667,0,7,-67.6666,0
0,1,17,0,4.6667,4.66666,0,11.6667,-67.6666,0
0,1,18,0,4.6667,4.6667,0,16.3334,-67.6666,0
0,1,18,1,4.6666,4.6667,0,16.3334,-63,0
0,1,18,2,4.6667,4.6667,0,16.3334,-58.3334,0
0,1,17,2,4.6667,4.66666,0,11.6667,-58.3334,0
0,0,18,1,4.6666,4.6667,0,16.3334,-63,0
0,1,17,2,4.6667,4.66666,0,11.6667,-58.3334,0
0,1,17,1,4.6666,4.66666,0,11.6667,-63,0
0,1,17,0,4.6667,4.66666,0,11.6667,-67.6666,0
0,1,18,0,4.6667,4.6667,0,16.3334,-67.6666,0
0,1,19,0,4.6667,4.6666,0,21,-67.6666,0
0,1,19,1,4.6666,4.6666,0,21,-63,0
0,1,19,2,4.6667,4.6666,0,21,-58.3334,0
0,1,18,2,4.6667,4.6667,0,16.3334,-58.3334,0
0,0,19,1,4.6666,4.6666,0,21,-63,0
0,1,18,2,4.6667,4.6667,0,16.3334,-58.3334,0
0,1,18,1,4.6666,4.6667,0,16.3334,-63,0
0,1,18,0,4.6667,4.6667,0,16.3334,-67.6666,0
0,1,19,0,4.6667,4.6666,0,21,-67.6666,0
0,1,20,0,4.6667,4.6667,0,25.6666,-67.6666,0
0,1,20,1,4.6666,4.6667,0,25.6666,-63,0
0,1,20,2,4.6667,4.6667,0,25.6666,-58.3334,0
0,1,19,2,4.6667,4.6666,0,21,-58.3334,0
0,0,20,1,4.6666,4.6667,0,25.6666,-63,0
0,1,19,2,4.6667,4.6666,0,21,-58.3334,0
0,1,19,1,4.6666,4.6666,0,21,-63,0
0,1,19,0,4.6667,4.6666,0,21,-67.6666,0
0,1,20,0,4.6667,4.6667,0,25.6666,-67.6666,0
0,1,21,0,4.6667,4.6667,0,30.3333,-67.6666,0
0,1,21,1,4.6666,4.6667,0,30.3333,-63,0
0,1,21,2,4.6667,4.6667,0,30.3333,-58.3334,0
0,1,20,2,4.6667,4.6667,0,25.6666,-58.3334,0
0,0,21,1,4.6666,4.6667,0,30.3333,-63,0
0,1,20,2,4.6667,4.6667,0,25.6666,-58.3334,0
0,1,20,1,4.6666,4.6667,0,25.6666,-63,0
0,1,20,0,4.6667,4.6667,0,25.6666,-67.6666,0
0,1,21,0,4.6667,4.6667,0,30.3333,-67.6666,0
0,1,22,0,4.6667,4.6666,0,35,-67.6666,0
0,1,22,1,4.6666,4.6666,0,35,-63,0
0,1,22,2,4.6667,4.6666,0,35,-58.3334,0
0,1,21,2,4.6667,4.6667,0,30.3333,-58.3334,0
0,0,22,1,4.6666,4.6666,0,35,-63,0
0,1,21,2,4.6667,4.6667,0,30.3333,-58.3334,0
0,1,21,1,4.6666,4.6667,0,30.3333,-63,0
0,1,21,0,4.6667,4.6667,0,30.3333,-67.6666,0
0,1,22,0,4.6667,4.6666,0,35,-67.6666,0
0,1,23,0,4.6667,4.6667,0,39.6666,-67.6666,0
0,1,23,1,4.6666,4.6667,0,39.6666,-63,0
0,1,23,2,4.6667,4.6667,0,39.6666,-58.3334,0
0,1,22,2,4.6667,4.6666,0,35,-58.3334,0
0,0,23,1,4.6666,4.6667,0,39.6666,-63,0
0,1,22,2,4.6667,4.6666,0,35,-58.3334,0
