Grid Size ,64
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
0,1,1,7,2.1875,2.1875,0,-53.5937576294,-66.7187423706,0
0,0,0,8,2.1875,2.1875,0,-51.4062576294,-68.9062423706,0
0,1,1,7,2.1875,2.1875,0,-53.5937576294,-66.7187423706,0
0,1,0,7,2.1875,2.1875,0,-53.5937576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,9,2.1875,2.1875,0,-49.2187576294,-68.9062423706,0
0,1,1,9,2.1875,2.1875,0,-49.2187576294,-66.7187423706,0
0,1,1,8,2.1875,2.1875,0,-51.4062576294,-66.7187423706,0
0,0,0,9,2.1875,2.1875,0,-49.2187576294,-68.9062423706,0
0,1,1,8,2.1875,2.1875,0,-51.4062576294,-66.7187423706,0
0,1,0,8,2.1875,2.1875,0,-51.4062576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,10,2.1875,2.1875,0,-47.0312576294,-68.9062423706,0
0,1,1,10,2.1875,2.1875,0,-47.0312576294,-66.7187423706,0
0,1,1,9,2.1875,2.1875,0,-49.2187576294,-66.7187423706,0
0,0,0,10,2.1875,2.1875,0,-47.0312576294,-68.9062423706,0
0,1,1,9,2.1875,2.1875,0,-49.2187576294,-66.7187423706,0
0,1,0,9,2.1875,2.1875,0,-49.2187576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,11,2.1875,2.1875,0,-44.8437576294,-68.9062423706,0
0,1,1,11,2.1875,2.1875,0,-44.8437576294,-66.7187423706,0
0,1,1,10,2.1875,2.1875,0,-47.0312576294,-66.7187423706,0
0,0,0,11,2.1875,2.1875,0,-44.8437576294,-68.9062423706,0
0,1,1,10,2.1875,2.1875,0,-47.0312576294,-66.7187423706,0
0,1,0,10,2.1875,2.1875,0,-47.0312576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,12,2.1875,2.1875,0,-42.6562576294,-68.9062423706,0
0,1,1,12,2.1875,2.1875,0,-42.6562576294,-66.7187423706,0
0,1,1,11,2.1875,2.1875,0,-44.8437576294,-66.7187423706,0
0,0,0,12,2.1875,2.1875,0,-42.6562576294,-68.9062423706,0
0,1,1,11,2.1875,2.1875,0,-44.8437576294,-66.7187423706,0
0,1,0,11,2.1875,2.1875,0,-44.8437576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,13,2.1875,2.1875,0,-40.4687576294,-68.9062423706,0
0,1,1,13,2.1875,2.1875,0,-40.4687576294,-66.7187423706,0
0,1,1,12,2.1875,2.1875,0,-42.6562576294,-66.7187423706,0
0,0,0,13,2.1875,2.1875,0,-40.4687576294,-68.9062423706,0
0,1,1,12,2.1875,2.1875,0,-42.6562576294,-66.7187423706,0
0,1,0,12,2.1875,2.1875,0,-42.6562576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,14,2.1875,2.1875,0,-38.2812576294,-68.9062423706,0
0,1,1,14,2.1875,2.1875,0,-38.2812576294,-66.7187423706,0
0,1,1,13,2.1875,2.1875,0,-40.4687576294,-66.7187423706,0
0,0,0,14,2.1875,2.1875,0,-38.2812576294,-68.9062423706,0
0,1,1,13,2.1875,2.1875,0,-40.4687576294,-66.7187423706,0
0,1,0,13,2.1875,2.1875,0,-40.4687576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,15,2.1875,2.1875,0,-36.0937576294,-68.9062423706,0
0,1,1,15,2.1875,2.1875,0,-36.0937576294,-66.7187423706,0
0,1,1,14,2.1875,2.1875,0,-38.2812576294,-66.7187423706,0
0,0,0,15,2.1875,2.1875,0,-36.0937576294,-68.9062423706,0
0,1,1,14,2.1875,2.1875,0,-38.2812576294,-66.7187423706,0
0,1,0,14,2.1875,2.1875,0,-38.2812576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,16,2.1875,2.1875,0,-33.9062576294,-68.9062423706,0
0,1,1,16,2.1875,2.1875,0,-33.9062576294,-66.7187423706,0
0,1,1,15,2.1875,2.1875,0,-36.0937576294,-66.7187423706,0
0,0,0,16,2.1875,2.1875,0,-33.9062576294,-68.9062423706,0
0,1,1,15,2.1875,2.1875,0,-36.0937576294,-66.7187423706,0
0,1,0,15,2.1875,2.1875,0,-36.0937576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,17,2.1875,2.1875,0,-31.7187576294,-68.9062423706,0
0,1,1,17,2.1875,2.1875,0,-31.7187576294,-66.7187423706,0
0,1,1,16,2.1875,2.1875,0,-33.9062576294,-66.7187423706,0
0,0,0,17,2.1875,2.1875,0,-31.7187576294,-68.9062423706,0
0,1,1,16,2.1875,2.1875,0,-33.9062576294,-66.7187423706,0
0,1,0,16,2.1875,2.1875,0,-33.9062576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,18,2.1875,2.1875,0,-29.5312576294,-68.9062423706,0
0,1,1,18,2.1875,2.1875,0,-29.5312576294,-66.7187423706,0
0,1,1,17,2.1875,2.1875,0,-31.7187576294,-66.7187423706,0
0,0,0,18,2.1875,2.1875,0,-29.5312576294,-68.9062423706,0
0,1,1,17,2.1875,2.1875,0,-31.7187576294,-66.7187423706,0
0,1,0,17,2.1875,2.1875,0,-31.7187576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,19,2.1875,2.1875,0,-27.3437576294,-68.9062423706,0
0,1,1,19,2.1875,2.1875,0,-27.3437576294,-66.7187423706,0
0,1,1,18,2.1875,2.1875,0,-29.5312576294,-66.7187423706,0
0,0,0,19,2.1875,2.1875,0,-27.3437576294,-68.9062423706,0
0,1,1,18,2.1875,2.1875,0,-29.5312576294,-66.7187423706,0
0,1,0,18,2.1875,2.1875,0,-29.5312576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,20,2.1875,2.1875,0,-25.1562576294,-68.9062423706,0
0,1,1,20,2.1875,2.1875,0,-25.1562576294,-66.7187423706,0
0,1,1,19,2.1875,2.1875,0,-27.3437576294,-66.7187423706,0
0,0,0,20,2.1875,2.1875,0,-25.1562576294,-68.9062423706,0
0,1,1,19,2.1875,2.1875,0,-27.3437576294,-66.7187423706,0
0,1,0,19,2.1875,2.1875,0,-27.3437576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,21,2.1875,2.1875,0,-22.9687576294,-68.9062423706,0
0,1,1,21,2.1875019074,2.1875,0,-22.9687566757,-66.7187423706,0
0,1,1,20,2.1875,2.1875,0,-25.1562576294,-66.7187423706,0
0,0,0,21,2.1875,2.1875,0,-22.9687576294,-68.9062423706,0
0,1,1,20,2.1875,2.1875,0,-25.1562576294,-66.7187423706,0
0,1,0,20,2.1875,2.1875,0,-25.1562576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,22,2.1875019074,2.1875,0,-20.7812566757,-68.9062423706,0
0,1,1,22,2.1875019073,2.1875,0,-20.7812547684,-66.7187423706,0
0,1,1,21,2.1875019074,2.1875,0,-22.9687566757,-66.7187423706,0
0,0,0,22,2.1875019074,2.1875,0,-20.7812566757,-68.9062423706,0
0,1,1,21,2.1875019074,2.1875,0,-22.9687566757,-66.7187423706,0
0,1,0,21,2.1875,2.1875,0,-22.9687576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,23,2.1875019073,2.1875,0,-18.5937547684,-68.9062423706,0
0,1,1,23,2.1875,2.1875,0,-18.5937538147,-66.7187423706,0
0,1,1,22,2.1875019073,2.1875,0,-20.7812547684,-66.7187423706,0
0,0,0,23,2.1875019073,2.1875,0,-18.5937547684,-68.9062423706,0
0,1,1,22,2.1875019073,2.1875,0,-20.7812547684,-66.7187423706,0
0,1,0,22,2.1875019074,2.1875,0,-20.7812566757,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,24,2.1875,2.1875,0,-16.4062538147,-68.9062423706,0
0,1,1,24,2.1875,2.1875,0,-16.4062538147,-66.7187423706,0
0,1,1,23,2.1875,2.1875,0,-18.5937538147,-66.7187423706,0
0,0,0,24,2.1875,2.1875,0,-16.4062538147,-68.9062423706,0
0,1,1,23,2.1875,2.1875,0,-18.5937538147,-66.7187423706,0
0,1,0,23,2.1875019073,2.1875,0,-18.5937547684,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,25,2.1874990463,2.1875,0,-14.2187542915,-68.9062423706,0
0,1,1,25,2.1875,2.1875,0,-14.2187538147,-66.7187423706,0
0,1,1,24,2.1875,2.1875,0,-16.4062538147,-66.7187423706,0
0,0,0,25,2.1874990463,2.1875,0,-14.2187542915,-68.9062423706,0
0,1,1,24,2.1875,2.1875,0,-16.4062538147,-66.7187423706,0
0,1,0,24,2.1875,2.1875,0,-16.4062538147,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,26,2.1875009537,2.1875,0,-12.0312542915,-68.9062423706,0
0,1,1,26,2.1875,2.1875,0,-12.0312538147,-66.7187423706,0
0,1,1,25,2.1875,2.1875,0,-14.2187538147,-66.7187423706,0
0,0,0,26,2.1875009537,2.1875,0,-12.0312542915,-68.9062423706,0
0,1,1,25,2.1875,2.1875,0,-14.2187538147,-66.7187423706,0
0,1,0,25,2.1874990463,2.1875,0,-14.2187542915,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,27,2.1875,2.1875,0,-9.8437538147,-68.9062423706,0
0,1,1,27,2.1875,2.1875,0,-9.8437538147,-66.7187423706,0
0,1,1,26,2.1875,2.1875,0,-12.0312538147,-66.7187423706,0
0,0,0,27,2.1875,2.1875,0,-9.8437538147,-68.9062423706,0
0,1,1,26,2.1875,2.1875,0,-12.0312538147,-66.7187423706,0
0,1,0,26,2.1875009537,2.1875,0,-12.0312542915,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,28,2.18749952317,2.1875,0,-7.65625405311,-68.9062423706,0
0,1,1,28,2.18749952317,2.1875,0,-7.65625405311,-66.7187423706,0
0,1,1,27,2.1875,2.1875,0,-9.8437538147,-66.7187423706,0
0,0,0,28,2.18749952317,2.1875,0,-7.65625405311,-68.9062423706,0
0,1,1,27,2.1875,2.1875,0,-9.8437538147,-66.7187423706,0
0,1,0,27,2.1875,2.1875,0,-9.8437538147,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,29,2.1875,2.1875,0,-5.46875429153,-68.9062423706,0
0,1,1,29,2.1875,2.1875,0,-5.46875429153,-66.7187423706,0
0,1,1,28,2.18749952317,2.1875,0,-7.65625405311,-66.7187423706,0
0,0,0,29,2.1875,2.1875,0,-5.46875429153,-68.9062423706,0
0,1,1,28,2.18749952317,2.1875,0,-7.65625405311,-66.7187423706,0
0,1,0,28,2.18749952317,2.1875,0,-7.65625405311,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,30,2.1875,2.1875,0,-3.28125429153,-68.9062423706,0
0,1,1,30,2.18750047683,2.1875,0,-3.28125405312,-66.7187423706,0
0,1,1,29,2.1875,2.1875,0,-5.46875429153,-66.7187423706,0
0,0,0,30,2.1875,2.1875,0,-3.28125429153,-68.9062423706,0
0,1,1,29,2.1875,2.1875,0,-5.46875429153,-66.7187423706,0
0,1,0,29,2.1875,2.1875,0,-5.46875429153,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,31,2.18750037998,2.1875,0,-1.09375410154,-68.9062423706,0
0,1,1,31,2.18750016392,2.1875,0,-1.09375373274,-66.7187423706,0
0,1,1,30,2.18750047683,2.1875,0,-3.28125405312,-66.7187423706,0
0,0,0,31,2.18750037998,2.1875,0,-1.09375410154,-68.9062423706,0
0,1,1,30,2.18750047683,2.1875,0,-3.28125405312,-66.7187423706,0
0,1,0,30,2.1875,2.1875,0,-3.28125429153,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,32,2.18750009685,2.1875,0,1.09374613687,-68.9062423706,0
0,1,1,32,2.1875000745,2.1875,0,1.09374638647,-66.7187423706,0
0,1,1,31,2.18750016392,2.1875,0,-1.09375373274,-66.7187423706,0
0,0,0,32,2.18750009685,2.1875,0,1.09374613687,-68.9062423706,0
0,1,1,31,2.18750016392,2.1875,0,-1.09375373274,-66.7187423706,0
0,1,0,31,2.18750037998,2.1875,0,-1.09375410154,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,33,2.1875,2.1875,0,3.2812461853,-68.9062423706,0
0,1,1,33,2.18750023842,2.1875,0,3.28124654293,-66.7187423706,0
0,1,1,32,2.1875000745,2.1875,0,1.09374638647,-66.7187423706,0
0,0,0,33,2.1875,2.1875,0,3.2812461853,-68.9062423706,0
0,1,1,32,2.1875000745,2.1875,0,1.09374638647,-66.7187423706,0
0,1,0,32,2.18750009685,2.1875,0,1.09374613687,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,34,2.18750047684,2.1875,0,5.46874642372,-68.9062423706,0
0,1,1,34,2.1875,2.1875,0,5.46874666214,-66.7187423706,0
0,1,1,33,2.18750023842,2.1875,0,3.28124654293,-66.7187423706,0
0,0,0,34,2.18750047684,2.1875,0,5.46874642372,-68.9062423706,0
0,1,1,33,2.18750023842,2.1875,0,3.28124654293,-66.7187423706,0
0,1,0,33,2.1875,2.1875,0,3.2812461853,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,35,2.18750047684,2.1875,0,7.65624690056,-68.9062423706,0
0,1,1,35,2.18750047684,2.1875,0,7.65624690056,-66.7187423706,0
0,1,1,34,2.1875,2.1875,0,5.46874666214,-66.7187423706,0
0,0,0,35,2.18750047684,2.1875,0,7.65624690056,-68.9062423706,0
0,1,1,34,2.1875,2.1875,0,5.46874666214,-66.7187423706,0
0,1,0,34,2.18750047684,2.1875,0,5.46874642372,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,36,2.18750095372,2.1875,0,9.84374761584,-68.9062423706,0
0,1,1,36,2.18750095372,2.1875,0,9.84374761584,-66.7187423706,0
0,1,1,35,2.18750047684,2.1875,0,7.65624690056,-66.7187423706,0
0,0,0,36,2.18750095372,2.1875,0,9.84374761584,-68.9062423706,0
0,1,1,35,2.18750047684,2.1875,0,7.65624690056,-66.7187423706,0
0,1,0,35,2.18750047684,2.1875,0,7.65624690056,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,37,2.1875,2.1875,0,12.0312480927,-68.9062423706,0
0,1,1,37,2.1875,2.1875,0,12.0312480927,-66.7187423706,0
0,1,1,36,2.18750095372,2.1875,0,9.84374761584,-66.7187423706,0
0,0,0,37,2.1875,2.1875,0,12.0312480927,-68.9062423706,0
0,1,1,36,2.18750095372,2.1875,0,9.84374761584,-66.7187423706,0
0,1,0,36,2.18750095372,2.1875,0,9.84374761584,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,38,2.1875,2.1875,0,14.2187480927,-68.9062423706,0
0,1,1,38,2.1875,2.1875,0,14.2187480927,-66.7187423706,0
0,1,1,37,2.1875,2.1875,0,12.0312480927,-66.7187423706,0
0,0,0,38,2.1875,2.1875,0,14.2187480927,-68.9062423706,0
0,1,1,37,2.1875,2.1875,0,12.0312480927,-66.7187423706,0
0,1,0,37,2.1875,2.1875,0,12.0312480927,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,39,2.1875,2.1875,0,16.4062480927,-68.9062423706,0
0,1,1,39,2.1875,2.1875,0,16.4062480927,-66.7187423706,0
0,1,1,38,2.1875,2.1875,0,14.2187480927,-66.7187423706,0
0,0,0,39,2.1875,2.1875,0,16.4062480927,-68.9062423706,0
0,1,1,38,2.1875,2.1875,0,14.2187480927,-66.7187423706,0
0,1,0,38,2.1875,2.1875,0,14.2187480927,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,40,2.1875019073,2.1875,0,18.5937490463,-68.9062423706,0
0,1,1,40,2.1875019073,2.1875,0,18.5937490463,-66.7187423706,0
0,1,1,39,2.1875,2.1875,0,16.4062480927,-66.7187423706,0
0,0,0,40,2.1875019073,2.1875,0,18.5937490463,-68.9062423706,0
0,1,1,39,2.1875,2.1875,0,16.4062480927,-66.7187423706,0
0,1,0,39,2.1875,2.1875,0,16.4062480927,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,41,2.1875,2.1875,0,20.78125,-68.9062423706,0
0,1,1,41,2.1875,2.1875,0,20.78125,-66.7187423706,0
0,1,1,40,2.1875019073,2.1875,0,18.5937490463,-66.7187423706,0
0,0,0,41,2.1875,2.1875,0,20.78125,-68.9062423706,0
0,1,1,40,2.1875019073,2.1875,0,18.5937490463,-66.7187423706,0
0,1,0,40,2.1875019073,2.1875,0,18.5937490463,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,42,2.1875,2.1875,0,22.96875,-68.9062423706,0
0,1,1,42,2.1875,2.1875,0,22.96875,-66.7187423706,0
0,1,1,41,2.1875,2.1875,0,20.78125,-66.7187423706,0
0,0,0,42,2.1875,2.1875,0,22.96875,-68.9062423706,0
0,1,1,41,2.1875,2.1875,0,20.78125,-66.7187423706,0
0,1,0,41,2.1875,2.1875,0,20.78125,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,43,2.1875,2.1875,0,25.15625,-68.9062423706,0
0,1,1,43,2.1875,2.1875,0,25.15625,-66.7187423706,0
0,1,1,42,2.1875,2.1875,0,22.96875,-66.7187423706,0
0,0,0,43,2.1875,2.1875,0,25.15625,-68.9062423706,0
0,1,1,42,2.1875,2.1875,0,22.96875,-66.7187423706,0
0,1,0,42,2.1875,2.1875,0,22.96875,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,44,2.1875,2.1875,0,27.34375,-68.9062423706,0
0,1,1,44,2.1875,2.1875,0,27.34375,-66.7187423706,0
0,1,1,43,2.1875,2.1875,0,25.15625,-66.7187423706,0
